rabbitmq-2-1  | 2026-08-30 14:39:43.666660+00:00 [info] <0.1325.0> stopped Stream TCP listener on [::]:5552[0m
rabbitmq-2-1  | [38;5;87m2026-08-30 14:39:43.711442+00:00 [notice] <0.45.0> Application rabbitmq_stream exited with reason: stopped[0m
rabbitmq-2-1  | 2026-08-30 14:39:43.711595+00:00 [info] <0.1942.0> Stopping application 'rabbitmq_stream_common'[0m
rabbitmq-2-1  | [38;5;87m2026-08-30 14:39:43.711835+00:00 [notice] <0.45.0> Application rabbitmq_stream_common exited with reason: stopped[0m
rabbitmq-2-1  | 2026-08-30 14:39:43.757083+00:00 [info] <0.1942.0> Plugins changed; disabled [rabbitmq_stream,rabbitmq_stream_common][0m
rabbitmq-2-1  | 2026-08-30 14:40:25.395146+00:00 [info] <0.2021.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:40:33.911564+00:00 [info] <0.2082.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:40:39.655781+00:00 [info] <0.2141.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:40:44.299801+00:00 [info] <0.2200.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:40:48.797048+00:00 [info] <0.2259.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:40:55.680020+00:00 [info] <0.2325.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:41:02.906970+00:00 [info] <0.2375.0> queue 'atlas.1788100860708359000.quorum' in vhost '/': granting vote for {'%2F_atlas.1788100860708359000.quorum','rabbit@rabbitmq-1'} with last {index, term} {0,0} for term 1 previous term was 0[0m
rabbitmq-2-1  | 2026-08-30 14:41:02.944257+00:00 [info] <0.2375.0> queue 'atlas.1788100860708359000.quorum' in vhost '/': detected a new leader {'%2F_atlas.1788100860708359000.quorum','rabbit@rabbitmq-1'} in term 1[0m
rabbitmq-2-1  | 2026-08-30 14:41:03.030122+00:00 [info] <0.2380.0> rabbit_stream_coordinator: started writer __atlas_1788100860708359000_stream_1788100862966347012 on 'rabbit@rabbitmq-1' in 1[0m
rabbitmq-2-1  | 2026-08-30 14:41:03.043607+00:00 [info] <0.2384.0> Stream: __atlas_1788100860708359000_stream_1788100862966347012 will use /var/lib/rabbitmq/mnesia/rabbit@rabbitmq-2/stream/__atlas_1788100860708359000_stream_1788100862966347012 for osiris log data directory[0m
rabbitmq-2-1  | 2026-08-30 14:41:03.072859+00:00 [info] <0.2384.0> __atlas_1788100860708359000_stream_1788100862966347012 [osiris_replica:handle_continue/2] osiris replica starting in epoch 1, next offset 0, tail info {0,empty}[0m
rabbitmq-2-1  | 2026-08-30 14:41:03.092440+00:00 [info] <0.2381.0> rabbit_stream_coordinator: __atlas_1788100860708359000_stream_1788100862966347012: replica started on rabbit@rabbitmq-3 in 1 pid <15328.2342.0>[0m
rabbitmq-2-1  | 2026-08-30 14:41:03.101108+00:00 [info] <0.2382.0> rabbit_stream_coordinator: __atlas_1788100860708359000_stream_1788100862966347012: replica started on rabbit@rabbitmq-2 in 1 pid <0.2384.0>[0m
rabbitmq-2-1  | 2026-08-30 14:41:03.186886+00:00 [info] <0.2388.0> rabbit_stream_coordinator: Member deleted for __atlas_1788100860708359000_stream_1788100862966347012 : on node rabbit@rabbitmq-2[0m
rabbitmq-2-1  | 2026-08-30 14:41:03.187845+00:00 [info] <0.2386.0> rabbit_stream_coordinator: Member deleted for __atlas_1788100860708359000_stream_1788100862966347012 : on node rabbit@rabbitmq-3[0m
rabbitmq-2-1  | 2026-08-30 14:41:03.191742+00:00 [info] <0.2387.0> rabbit_stream_coordinator: Member deleted for __atlas_1788100860708359000_stream_1788100862966347012 : on node rabbit@rabbitmq-1[0m
rabbitmq-2-1  | [38;5;87m2026-08-30 14:41:03.199411+00:00 [notice] <0.2375.0> queue 'atlas.1788100860708359000.quorum' in vhost '/': terminating with reason 'delete'[0m
rabbitmq-2-1  | 2026-08-30 14:41:03.203749+00:00 [info] <0.2391.0> Deleting server '%2F_atlas.1788100860708359000.quorum' and its data directory.[0m
rabbitmq-2-1  | 2026-08-30 14:41:03.494106+00:00 [info] <0.2402.0> Making sure data directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-2/msg_stores/vhosts/DDK3CYH213AVZMQGK77QZ2TIY' for vhost 'atlas-secops-1788100863441087000' exists[0m
rabbitmq-2-1  | 2026-08-30 14:41:03.495695+00:00 [info] <0.2402.0> Setting segment_entry_count for vhost 'atlas-secops-1788100863441087000' with 0 queues to '2048'[0m
rabbitmq-2-1  | 2026-08-30 14:41:03.502285+00:00 [info] <0.2402.0> Starting message stores for vhost 'atlas-secops-1788100863441087000'[0m
rabbitmq-2-1  | 2026-08-30 14:41:03.505673+00:00 [info] <0.2402.0> Started message store of type transient for vhost 'atlas-secops-1788100863441087000'[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:41:03.506546+00:00 [warning] <0.2413.0> Message store "DDK3CYH213AVZMQGK77QZ2TIY/msg_store_persistent": rebuilding indices from scratch[0m
rabbitmq-2-1  | 2026-08-30 14:41:03.507769+00:00 [info] <0.2402.0> Started message store of type persistent for vhost 'atlas-secops-1788100863441087000'[0m
rabbitmq-2-1  | 2026-08-30 14:41:03.507944+00:00 [info] <0.2402.0> Recovering 0 queues of type rabbit_classic_queue took 9ms[0m
rabbitmq-2-1  | 2026-08-30 14:41:03.508002+00:00 [info] <0.2402.0> Recovering 0 queues of type rabbit_quorum_queue took 0ms[0m
rabbitmq-2-1  | 2026-08-30 14:41:03.509151+00:00 [info] <0.2402.0> Recovering 0 queues of type rabbit_stream_queue took 0ms[0m
rabbitmq-2-1  | 2026-08-30 14:41:06.586081+00:00 [info] <0.2434.0> accepting AMQP connection 192.168.80.1:43100 -> 192.168.80.2:5672[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:41:06.603558+00:00 [warning] <0.2434.0> User 'atlas-secops-1788100863441087000-user' failed to authenticate: user 'atlas-secops-1788100863441087000-user' - invalid credentials[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:41:06.603980+00:00 [error] <0.2434.0> Error on AMQP connection <0.2434.0> (192.168.80.1:43100 -> 192.168.80.2:5672, state: starting):[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:41:06.603980+00:00 [error] <0.2434.0> PLAIN login refused: user 'atlas-secops-1788100863441087000-user' - invalid credentials[0m
rabbitmq-2-1  | 2026-08-30 14:41:09.570934+00:00 [info] <0.2434.0> closing AMQP connection (192.168.80.1:43100 -> 192.168.80.2:5672, duration: '2s')[0m
rabbitmq-2-1  | 2026-08-30 14:41:12.595518+00:00 [info] <0.2442.0> accepting AMQP connection 192.168.80.1:23689 -> 192.168.80.2:5672[0m
rabbitmq-2-1  | 2026-08-30 14:41:12.602447+00:00 [info] <0.2442.0> User 'atlas-secops-1788100863441087000-user' authenticated successfully[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:41:12.603963+00:00 [error] <0.2442.0> Error on AMQP connection <0.2442.0> (192.168.80.1:23689 -> 192.168.80.2:5672, user: 'atlas-secops-1788100863441087000-user', state: opening):[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:41:12.603963+00:00 [error] <0.2442.0> access to vhost '/' refused for user 'atlas-secops-1788100863441087000-user'[0m
rabbitmq-2-1  | 2026-08-30 14:41:12.606621+00:00 [info] <0.2442.0> closing AMQP connection (192.168.80.1:23689 -> 192.168.80.2:5672, vhost: 'none', user: 'atlas-secops-1788100863441087000-user', duration: '11ms')[0m
rabbitmq-2-1  | 2026-08-30 14:41:15.738262+00:00 [info] <0.2453.0> accepting AMQP connection 192.168.80.1:54522 -> 192.168.80.2:5672[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:41:15.741851+00:00 [warning] <0.2453.0> User 'atlas-secops-1788100863441087000-user' failed to authenticate: user 'atlas-secops-1788100863441087000-user' - invalid credentials[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:41:15.742130+00:00 [error] <0.2453.0> Error on AMQP connection <0.2453.0> (192.168.80.1:54522 -> 192.168.80.2:5672, state: starting):[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:41:15.742130+00:00 [error] <0.2453.0> PLAIN login refused: user 'atlas-secops-1788100863441087000-user' - invalid credentials[0m
rabbitmq-2-1  | 2026-08-30 14:41:18.738448+00:00 [info] <0.2453.0> closing AMQP connection (192.168.80.1:54522 -> 192.168.80.2:5672, duration: '3s')[0m
rabbitmq-2-1  | 2026-08-30 14:41:21.788808+00:00 [info] <0.2463.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:41:21.929346+00:00 [info] <0.2473.0> Stopping vhost supervisor <0.2401.0> for vhost 'atlas-secops-1788100863441087000'[0m
rabbitmq-2-1  | 2026-08-30 14:41:21.929679+00:00 [info] <0.2402.0> Virtual host 'atlas-secops-1788100863441087000' is stopping[0m
rabbitmq-2-1  | 2026-08-30 14:41:21.929900+00:00 [info] <0.2474.0> Closing all connections in vhost 'atlas-secops-1788100863441087000' on node 'rabbit@rabbitmq-2' because the vhost is stopping[0m
rabbitmq-2-1  | 2026-08-30 14:41:21.930148+00:00 [info] <0.2413.0> Stopping message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-2/msg_stores/vhosts/DDK3CYH213AVZMQGK77QZ2TIY/msg_store_persistent'[0m
rabbitmq-2-1  | 2026-08-30 14:41:21.933922+00:00 [info] <0.2413.0> Message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-2/msg_stores/vhosts/DDK3CYH213AVZMQGK77QZ2TIY/msg_store_persistent' is stopped[0m
rabbitmq-2-1  | 2026-08-30 14:41:21.934306+00:00 [info] <0.2409.0> Stopping message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-2/msg_stores/vhosts/DDK3CYH213AVZMQGK77QZ2TIY/msg_store_transient'[0m
rabbitmq-2-1  | 2026-08-30 14:41:21.938021+00:00 [info] <0.2409.0> Message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-2/msg_stores/vhosts/DDK3CYH213AVZMQGK77QZ2TIY/msg_store_transient' is stopped[0m
rabbitmq-2-1  | 2026-08-30 14:41:21.939930+00:00 [info] <0.2473.0> Deleting message store directory for vhost 'atlas-secops-1788100863441087000' at '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-2/msg_stores/vhosts/DDK3CYH213AVZMQGK77QZ2TIY'[0m
rabbitmq-2-1  | 2026-08-30 14:41:25.266178+00:00 [info] <0.2497.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:41:25.286714+00:00 [info] <0.2502.0> User 'atlas-scenario-20260830t143739z65535' authenticated successfully[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:41:25.287038+00:00 [warning] <0.2502.0> HTTP access denied: user 'atlas-scenario-20260830t143739z65535' - Not management user[0m
rabbitmq-2-1  | 2026-08-30 14:41:26.704246+00:00 [info] <0.2526.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:41:39.481123+00:00 [info] <0.2610.0> User 'atlas' authenticated successfully[0m
