rabbitmq-1-1  |   TLS Library: OpenSSL - OpenSSL 3.5.8 25 Aug 2026
rabbitmq-1-1  | 2026-08-30 14:43:49.507937+00:00 [info] <0.209.0> Running boot step core_initialized defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.507981+00:00 [info] <0.209.0> Running boot step rabbit_channel_tracking_handler defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.508026+00:00 [info] <0.209.0> Running boot step rabbit_classic_queue_type defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.508071+00:00 [info] <0.209.0> Running boot step rabbit_classic_queue defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.508110+00:00 [info] <0.209.0> Running boot step rabbit_connection_tracking_handler defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.508129+00:00 [info] <0.209.0> Running boot step rabbit_definitions_hashing defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.508174+00:00 [info] <0.209.0> Running boot step rabbit_exchange_parameters defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.509606+00:00 [info] <0.209.0> Running boot step rabbit_policies defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.509898+00:00 [info] <0.209.0> Running boot step rabbit_quorum_queue_type defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.509983+00:00 [info] <0.209.0> Running boot step rabbit_stream_queue defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.510033+00:00 [info] <0.209.0> Running boot step rabbit_policy defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.510091+00:00 [info] <0.209.0> Running boot step rabbit_quorum_event_subscriber defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.510173+00:00 [info] <0.209.0> Running boot step rabbit_quorum_queue defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.510452+00:00 [info] <0.209.0> Running boot step quorum_memory_alarm_handler defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.510501+00:00 [info] <0.209.0> Running boot step rabbit_stream_coordinator defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.512563+00:00 [info] <0.209.0> Running boot step rabbit_vhost_limit defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.512645+00:00 [info] <0.209.0> Running boot step rabbit_mgmt_reset_handler defined by app rabbitmq_management[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.512684+00:00 [info] <0.209.0> Running boot step rabbit_mgmt_db_handler defined by app rabbitmq_management_agent[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.512746+00:00 [info] <0.209.0> Management plugin: using rates mode 'basic'[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.515180+00:00 [info] <0.209.0> Running boot step recovery defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.515897+00:00 [info] <0.800.0> Making sure data directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/msg_stores/vhosts/2TGGST32FDOBKLHTI2FBJLRR7' for vhost '/atlas-metadata-20260830T143739Z-65535' exists[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.516690+00:00 [info] <0.800.0> Setting segment_entry_count for vhost '/atlas-metadata-20260830T143739Z-65535' with 0 queues to '2048'[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.535966+00:00 [info] <0.800.0> Starting message stores for vhost '/atlas-metadata-20260830T143739Z-65535'[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.537736+00:00 [info] <0.800.0> Started message store of type transient for vhost '/atlas-metadata-20260830T143739Z-65535'[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:43:49.569142+00:00 [warning] <0.813.0> Message store "2TGGST32FDOBKLHTI2FBJLRR7/msg_store_persistent": rebuilding indices from scratch[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.572183+00:00 [info] <0.800.0> Started message store of type persistent for vhost '/atlas-metadata-20260830T143739Z-65535'[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.572425+00:00 [info] <0.800.0> Recovering 0 queues of type rabbit_classic_queue took 46ms[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.572462+00:00 [info] <0.800.0> Recovering 0 queues of type rabbit_quorum_queue took 0ms[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.572488+00:00 [info] <0.800.0> Recovering 0 queues of type rabbit_stream_queue took 0ms[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.572843+00:00 [info] <0.827.0> Making sure data directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/msg_stores/vhosts/628WB79CIFDYO9LJI6DKMI09L' for vhost '/' exists[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.585259+00:00 [info] <0.827.0> Starting message stores for vhost '/'[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.588542+00:00 [info] <0.827.0> Started message store of type transient for vhost '/'[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.590521+00:00 [info] <0.827.0> Started message store of type persistent for vhost '/'[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.590694+00:00 [info] <0.827.0> Recovering 0 queues of type rabbit_classic_queue took 9ms[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.590745+00:00 [info] <0.827.0> Recovering 0 queues of type rabbit_quorum_queue took 0ms[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.590798+00:00 [info] <0.827.0> Recovering 0 queues of type rabbit_stream_queue took 0ms[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.590945+00:00 [info] <0.209.0> Running boot step prevent_startup_if_node_was_reset defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.590998+00:00 [info] <0.209.0> Running boot step empty_db_check defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.591151+00:00 [info] <0.209.0> Will not seed default virtual host and user: have definitions to load...[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.591189+00:00 [info] <0.209.0> Running boot step rabbit_observer_cli defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.591259+00:00 [info] <0.209.0> Running boot step rabbit_core_metrics_gc defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.591534+00:00 [info] <0.209.0> Running boot step background_gc defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.591863+00:00 [info] <0.209.0> Running boot step rabbit_observer_cli_classic_queues defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.592021+00:00 [info] <0.209.0> Running boot step rabbit_observer_cli_quorum_queues defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.592110+00:00 [info] <0.209.0> Running boot step routing_ready defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.592161+00:00 [info] <0.209.0> Running boot step pre_flight defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.592258+00:00 [info] <0.209.0> Running boot step notify_cluster defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.592342+00:00 [info] <0.769.0> rabbit on node 'rabbit@rabbitmq-2' up[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.592290+00:00 [info] <0.209.0> Running boot step networking defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.592578+00:00 [info] <0.209.0> Running boot step rabbit_quorum_queue_periodic_membership_reconciliation defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.592814+00:00 [info] <0.769.0> rabbit on node 'rabbit@rabbitmq-3' up[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.592934+00:00 [info] <0.209.0> Running boot step definition_import_worker_pool defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.593006+00:00 [info] <0.558.0> Starting worker pool 'definition_import_pool' with 12 processes in it[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.593484+00:00 [info] <0.209.0> Running boot step cluster_name defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.593553+00:00 [info] <0.209.0> Running boot step virtual_host_reconciliation defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.595756+00:00 [info] <0.209.0> Running boot step direct_client defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.595920+00:00 [info] <0.209.0> Running boot step logger_exchange defined by app rabbit[0m
