rabbitmq-1-1  | 2026-08-30 14:21:20.462172+00:00 [info] <0.1881.0>     rabbitmq_stomp[0m
rabbitmq-1-1  | 2026-08-30 14:21:20.462172+00:00 [info] <0.1881.0> [0m
rabbitmq-1-1  | 2026-08-30 14:21:20.462372+00:00 [info] <0.1881.0> Stopping application 'rabbitmq_stomp'[0m
rabbitmq-1-1  | 2026-08-30 14:21:20.462893+00:00 [info] <0.1293.0> stopped STOMP TCP listener on [::]:61613[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 14:21:20.560497+00:00 [notice] <0.45.0> Application rabbitmq_stomp exited with reason: stopped[0m
rabbitmq-1-1  | 2026-08-30 14:21:20.606783+00:00 [info] <0.1881.0> Plugins changed; disabled [rabbitmq_stomp][0m
rabbitmq-1-1  | 2026-08-30 14:21:31.117080+00:00 [info] <0.1968.0> Stopping RabbitMQ applications and their dependencies in the following order:[0m
rabbitmq-1-1  | 2026-08-30 14:21:31.117080+00:00 [info] <0.1968.0>     rabbitmq_stream[0m
rabbitmq-1-1  | 2026-08-30 14:21:31.117080+00:00 [info] <0.1968.0>     rabbitmq_stream_common[0m
rabbitmq-1-1  | 2026-08-30 14:21:31.117080+00:00 [info] <0.1968.0> [0m
rabbitmq-1-1  | 2026-08-30 14:21:31.117440+00:00 [info] <0.1968.0> Stopping application 'rabbitmq_stream'[0m
rabbitmq-1-1  | 2026-08-30 14:21:31.121647+00:00 [info] <0.1315.0> stopped Stream TCP listener on [::]:5552[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 14:21:31.170431+00:00 [notice] <0.45.0> Application rabbitmq_stream exited with reason: stopped[0m
rabbitmq-1-1  | 2026-08-30 14:21:31.170612+00:00 [info] <0.1968.0> Stopping application 'rabbitmq_stream_common'[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 14:21:31.170721+00:00 [notice] <0.45.0> Application rabbitmq_stream_common exited with reason: stopped[0m
rabbitmq-1-1  | 2026-08-30 14:21:31.255351+00:00 [info] <0.1968.0> Plugins changed; disabled [rabbitmq_stream,rabbitmq_stream_common][0m
rabbitmq-1-1  | 2026-08-30 14:22:30.639016+00:00 [info] <0.2030.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:22:39.324879+00:00 [info] <0.2091.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:22:44.855010+00:00 [info] <0.2152.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:22:59.937121+00:00 [info] <0.2214.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:23:09.281685+00:00 [info] <0.2275.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:23:13.144234+00:00 [info] <0.2334.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:23:18.962698+00:00 [info] <0.2407.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:23:19.271553+00:00 [info] <0.2412.0> accepting AMQP connection 192.168.80.1:42257 -> 192.168.80.4:5672[0m
rabbitmq-1-1  | 2026-08-30 14:23:19.275748+00:00 [info] <0.2412.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:23:19.278127+00:00 [info] <0.2412.0> connection 192.168.80.1:42257 -> 192.168.80.4:5672: user 'atlas' authenticated and granted access to vhost '/'[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 14:23:19.317698+00:00 [error] <0.2429.0> Deprecated features: `transient_nonexcl_queues`: Feature `transient_nonexcl_queues` is deprecated.[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 14:23:19.317698+00:00 [error] <0.2429.0> By default, this feature is not permitted anymore.[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 14:23:19.317698+00:00 [error] <0.2429.0> The feature will be removed from a future major RabbitMQ version, regardless of the configuration; actual version to be determined.[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 14:23:19.317698+00:00 [error] <0.2429.0> To continue using this feature when it is not permitted by default, set the following parameter in your configuration:[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 14:23:19.317698+00:00 [error] <0.2429.0>     "deprecated_features.permit.transient_nonexcl_queues = true"[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 14:23:19.318173+00:00 [error] <0.2429.0> Channel error on connection <0.2412.0> (192.168.80.1:42257 -> 192.168.80.4:5672, vhost: '/', user: 'atlas'), channel 2:[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 14:23:19.318173+00:00 [error] <0.2429.0> operation queue.declare caused a channel exception precondition_failed: inequivalent arg 'durable' for queue 'atlas.1788099799269440000.property-equivalence' in vhost '/': received 'false' but current is 'true'[0m
rabbitmq-1-1  | 2026-08-30 14:23:23.702669+00:00 [info] <0.2561.0> queue 'atlas.1788099799269440000.quorum' in vhost '/': delivery_limit not set, defaulting to 20[0m
rabbitmq-1-1  | 2026-08-30 14:23:23.702913+00:00 [info] <0.2561.0> queue 'atlas.1788099799269440000.quorum' in vhost '/': delivery_limit not set, defaulting to 20[0m
rabbitmq-1-1  | 2026-08-30 14:23:23.703069+00:00 [info] <0.2561.0> queue 'atlas.1788099799269440000.quorum' in vhost '/': delivery_limit not set, defaulting to 20[0m
