rabbitmq-1-1  | 2026-08-30 17:17:38.034081+00:00 [info] <0.2609.0> __atlas_1788110255840602000_stream_1788110257852430109 [osiris_replica_reader:init/1] replica reader successfully connected to host {172,29,0,2} port 6431[0m
rabbitmq-1-1  | 2026-08-30 17:17:38.041263+00:00 [info] <0.2609.0> __atlas_1788110255840602000_stream_1788110257852430109 [osiris_replica_reader:init/1] starting osiris replica reader at offset 0[0m
rabbitmq-1-1  | 2026-08-30 17:17:38.195339+00:00 [info] <0.2605.0> osiris_writer:terminate/2: name __atlas_1788110255840602000_stream_1788110257852430109 reason: shutdown[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 17:17:38.262180+00:00 [notice] <0.2589.0> queue 'atlas.1788110255840602000.quorum' in vhost '/': leader -> terminating_leader in term: 1 machine version: 8, last applied 7[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 17:17:38.267197+00:00 [notice] <0.2589.0> queue 'atlas.1788110255840602000.quorum' in vhost '/': terminating with reason 'delete'[0m
rabbitmq-1-1  | 2026-08-30 17:17:38.291055+00:00 [info] <15327.2384.0> Deleting server '%2F_atlas.1788110255840602000.quorum' and its data directory.[0m
rabbitmq-1-1  | 2026-08-30 17:17:38.299936+00:00 [info] <15328.2426.0> Deleting server '%2F_atlas.1788110255840602000.quorum' and its data directory.[0m
rabbitmq-1-1  | 2026-08-30 17:17:38.569623+00:00 [info] <0.2433.0> closing AMQP connection (172.29.0.1:57300 -> 172.29.0.4:5672, vhost: '/', user: 'atlas', duration: '2s')[0m
rabbitmq-1-1  | 2026-08-30 17:17:40.156782+00:00 [info] <0.2640.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 17:17:40.185781+00:00 [info] <0.2644.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 17:17:40.229756+00:00 [info] <0.2644.0> Adding vhost 'atlas-secops-1788110260152515000' (description: '', tags: [])[0m
