rabbitmq-2-1  | 2026-08-30 14:23:24.220679+00:00 [info] <0.2383.0> Stream: __atlas_1788099799269440000_stream_1788099804047019522 will use /var/lib/rabbitmq/mnesia/rabbit@rabbitmq-2/stream/__atlas_1788099799269440000_stream_1788099804047019522 for osiris log data directory[0m
rabbitmq-2-1  | 2026-08-30 14:23:24.292756+00:00 [info] <0.2383.0> __atlas_1788099799269440000_stream_1788099804047019522 [osiris_replica:handle_continue/2] osiris replica starting in epoch 1, next offset 0, tail info {0,empty}[0m
rabbitmq-2-1  | [38;5;87m2026-08-30 14:23:24.535405+00:00 [notice] <0.2378.0> queue 'atlas.1788099799269440000.quorum' in vhost '/': terminating with reason 'delete'[0m
rabbitmq-2-1  | 2026-08-30 14:23:24.543693+00:00 [info] <0.2390.0> Deleting server '%2F_atlas.1788099799269440000.quorum' and its data directory.[0m
rabbitmq-2-1  | 2026-08-30 14:23:25.125082+00:00 [info] <0.2401.0> Making sure data directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-2/msg_stores/vhosts/6V8HXZ15DVA4N4XP9IBTFNLKB' for vhost 'atlas-secops-1788099805014730000' exists[0m
rabbitmq-2-1  | 2026-08-30 14:23:25.131137+00:00 [info] <0.2401.0> Setting segment_entry_count for vhost 'atlas-secops-1788099805014730000' with 0 queues to '2048'[0m
rabbitmq-2-1  | 2026-08-30 14:23:25.153571+00:00 [info] <0.2401.0> Starting message stores for vhost 'atlas-secops-1788099805014730000'[0m
rabbitmq-2-1  | 2026-08-30 14:23:25.159377+00:00 [info] <0.2401.0> Started message store of type transient for vhost 'atlas-secops-1788099805014730000'[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:23:25.162445+00:00 [warning] <0.2412.0> Message store "6V8HXZ15DVA4N4XP9IBTFNLKB/msg_store_persistent": rebuilding indices from scratch[0m
rabbitmq-2-1  | 2026-08-30 14:23:25.166050+00:00 [info] <0.2401.0> Started message store of type persistent for vhost 'atlas-secops-1788099805014730000'[0m
rabbitmq-2-1  | 2026-08-30 14:23:25.167473+00:00 [info] <0.2401.0> Recovering 0 queues of type rabbit_classic_queue took 26ms[0m
rabbitmq-2-1  | 2026-08-30 14:23:25.167564+00:00 [info] <0.2401.0> Recovering 0 queues of type rabbit_quorum_queue took 0ms[0m
rabbitmq-2-1  | 2026-08-30 14:23:25.167639+00:00 [info] <0.2401.0> Recovering 0 queues of type rabbit_stream_queue took 0ms[0m
rabbitmq-2-1  | 2026-08-30 14:23:28.353471+00:00 [info] <0.2431.0> accepting AMQP connection 192.168.80.1:38160 -> 192.168.80.2:5672[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:23:28.367469+00:00 [warning] <0.2431.0> User 'atlas-secops-1788099805014730000-user' failed to authenticate: user 'atlas-secops-1788099805014730000-user' - invalid credentials[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:23:28.368264+00:00 [error] <0.2431.0> Error on AMQP connection <0.2431.0> (192.168.80.1:38160 -> 192.168.80.2:5672, state: starting):[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:23:28.368264+00:00 [error] <0.2431.0> PLAIN login refused: user 'atlas-secops-1788099805014730000-user' - invalid credentials[0m
rabbitmq-2-1  | 2026-08-30 14:23:31.352621+00:00 [info] <0.2431.0> closing AMQP connection (192.168.80.1:38160 -> 192.168.80.2:5672, duration: '3s')[0m
rabbitmq-2-1  | 2026-08-30 14:23:34.375853+00:00 [info] <0.2441.0> accepting AMQP connection 192.168.80.1:38727 -> 192.168.80.2:5672[0m
