rabbitmq-1-1  | 2026-08-30 14:26:02.410119+00:00 [info] <0.215.0> Running boot step rabbit_mgmt_reset_handler defined by app rabbitmq_management[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.410166+00:00 [info] <0.215.0> Running boot step rabbit_mgmt_db_handler defined by app rabbitmq_management_agent[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.410220+00:00 [info] <0.215.0> Management plugin: using rates mode 'basic'[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.412320+00:00 [info] <0.215.0> Running boot step recovery defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.412727+00:00 [info] <0.803.0> Making sure data directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/msg_stores/vhosts/EZCJMNRL8AJ2B9P2JN6TNCW2O' for vhost '/atlas-metadata-20260830T141832Z-3367' exists[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.413413+00:00 [info] <0.803.0> Setting segment_entry_count for vhost '/atlas-metadata-20260830T141832Z-3367' with 0 queues to '2048'[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.428539+00:00 [info] <0.803.0> Starting message stores for vhost '/atlas-metadata-20260830T141832Z-3367'[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.430256+00:00 [info] <0.803.0> Started message store of type transient for vhost '/atlas-metadata-20260830T141832Z-3367'[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:26:02.467302+00:00 [warning] <0.816.0> Message store "EZCJMNRL8AJ2B9P2JN6TNCW2O/msg_store_persistent": rebuilding indices from scratch[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.468569+00:00 [info] <0.803.0> Started message store of type persistent for vhost '/atlas-metadata-20260830T141832Z-3367'[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.468669+00:00 [info] <0.803.0> Recovering 0 queues of type rabbit_classic_queue took 49ms[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.468735+00:00 [info] <0.803.0> Recovering 0 queues of type rabbit_quorum_queue took 0ms[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.468851+00:00 [info] <0.803.0> Recovering 0 queues of type rabbit_stream_queue took 0ms[0m
