rabbitmq-3-1  | 2026-08-30 13:54:41.624460+00:00 [info] <0.1491.0> Accepted MQTT connection 192.168.80.2:53696 -> 192.168.80.4:1883 for client ID pub-qos0-rabbitmq-3-1883[0m
rabbitmq-3-1  | 2026-08-30 13:54:41.624691+00:00 [info] <0.1488.0> MQTT connection <<"192.168.80.2:53694 -> 192.168.80.4:1883">> will terminate because peer closed TCP connection[0m
rabbitmq-3-1  | 2026-08-30 13:54:41.624682+00:00 [info] <0.1491.0> MQTT connection <<"192.168.80.2:53696 -> 192.168.80.4:1883">> will terminate because peer closed TCP connection[0m
rabbitmq-3-1  | 2026-08-30 13:54:41.628543+00:00 [info] <0.1500.0> accepting STOMP connection <0.1500.0> (192.168.80.2:55330 -> 192.168.80.4:61613)[0m
rabbitmq-3-1  | 2026-08-30 13:54:41.628927+00:00 [info] <0.1504.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 13:54:41.629795+00:00 [info] <0.1500.0> closing STOMP connection <0.1500.0> (192.168.80.2:55330 -> 192.168.80.4:61613)[0m
rabbitmq-3-1  | [38;5;214m2026-08-30 13:54:47.637640+00:00 [warning] <0.1523.0> User 'atlas' failed to authenticate: user 'atlas' - invalid credentials[0m
rabbitmq-3-1  | [38;5;160m2026-08-30 13:54:47.637780+00:00 [error] <0.1523.0> MQTT connection failed: access refused for user 'atlas':user 'atlas' - invalid credentials[0m
rabbitmq-3-1  | [38;5;160m2026-08-30 13:54:50.641600+00:00 [error] <0.1523.0> Rejected MQTT connection 192.168.80.2:52476 -> 192.168.80.4:1883 with Connect Reason Code 134[0m
rabbitmq-3-1  | 2026-08-30 13:54:50.654064+00:00 [info] <0.1528.0> accepting STOMP connection <0.1528.0> (192.168.80.2:47418 -> 192.168.80.4:61613)[0m
rabbitmq-3-1  | [38;5;214m2026-08-30 13:54:50.654627+00:00 [warning] <0.1532.0> User 'atlas' failed to authenticate: user 'atlas' - invalid credentials[0m
rabbitmq-3-1  | [38;5;214m2026-08-30 13:54:50.654804+00:00 [warning] <0.1528.0> STOMP login failed for user 'atlas': authentication failed[0m
rabbitmq-3-1  | [38;5;160m2026-08-30 13:54:50.654864+00:00 [error] <0.1528.0> STOMP error frame sent:[0m
rabbitmq-3-1  | [38;5;160m2026-08-30 13:54:50.654864+00:00 [error] <0.1528.0> Message: "Bad CONNECT"[0m
rabbitmq-3-1  | [38;5;160m2026-08-30 13:54:50.654864+00:00 [error] <0.1528.0> Detail: "Access refused for user 'atlas'"[0m
rabbitmq-3-1  | [38;5;160m2026-08-30 13:54:50.654864+00:00 [error] <0.1528.0> Server private detail: none[0m
rabbitmq-3-1  | 2026-08-30 13:54:50.655364+00:00 [info] <0.1528.0> closing STOMP connection <0.1528.0> (192.168.80.2:47418 -> 192.168.80.4:61613)[0m
rabbitmq-3-1  | 2026-08-30 13:54:50.662834+00:00 [info] <0.1546.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 13:54:50.663201+00:00 [info] <0.1546.0> Accepted MQTT connection 192.168.80.2:52492 -> 192.168.80.4:1883 for client ID compat-31[0m
rabbitmq-3-1  | 2026-08-30 13:54:50.663335+00:00 [info] <0.1546.0> MQTT detected network error for <<"192.168.80.2:52492 -> 192.168.80.4:1883">>: einval[0m
rabbitmq-3-1  | 2026-08-30 13:54:50.663731+00:00 [info] <0.1550.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 13:54:50.663923+00:00 [info] <0.1550.0> Accepted MQTT connection 192.168.80.2:52506 -> 192.168.80.4:1883 for client ID compat-311[0m
rabbitmq-3-1  | 2026-08-30 13:54:50.663987+00:00 [info] <0.1550.0> MQTT detected network error for <<"192.168.80.2:52506 -> 192.168.80.4:1883">>: einval[0m
rabbitmq-3-1  | 2026-08-30 13:54:50.664662+00:00 [info] <0.1554.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 13:54:50.664822+00:00 [info] <0.1554.0> Accepted MQTT connection 192.168.80.2:52510 -> 192.168.80.4:1883 for client ID compat-50[0m
rabbitmq-3-1  | 2026-08-30 13:54:50.664919+00:00 [info] <0.1554.0> MQTT detected network error for <<"192.168.80.2:52510 -> 192.168.80.4:1883">>: einval[0m
rabbitmq-3-1  | 2026-08-30 13:54:50.678538+00:00 [info] <0.1560.0> accepting STOMP connection <0.1560.0> (192.168.80.2:47434 -> 192.168.80.4:61613)[0m
rabbitmq-3-1  | 2026-08-30 13:54:50.679149+00:00 [info] <0.1564.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 13:54:50.680697+00:00 [info] <0.1560.0> closing STOMP connection <0.1560.0> (192.168.80.2:47434 -> 192.168.80.4:61613)[0m
rabbitmq-3-1  | 2026-08-30 13:54:50.681259+00:00 [info] <0.1583.0> accepting STOMP connection <0.1583.0> (192.168.80.2:47448 -> 192.168.80.4:61613)[0m
rabbitmq-3-1  | 2026-08-30 13:54:50.681695+00:00 [info] <0.1587.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 13:54:50.682845+00:00 [info] <0.1583.0> closing STOMP connection <0.1583.0> (192.168.80.2:47448 -> 192.168.80.4:61613)[0m
rabbitmq-3-1  | 2026-08-30 13:54:50.683064+00:00 [info] <0.1603.0> accepting STOMP connection <0.1603.0> (192.168.80.2:47460 -> 192.168.80.4:61613)[0m
rabbitmq-3-1  | 2026-08-30 13:54:50.683346+00:00 [info] <0.1610.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 13:54:50.684535+00:00 [info] <0.1603.0> closing STOMP connection <0.1603.0> (192.168.80.2:47460 -> 192.168.80.4:61613)[0m
rabbitmq-3-1  | 2026-08-30 13:55:33.917904+00:00 [info] <0.1758.0> Stopping RabbitMQ applications and their dependencies in the following order:[0m
rabbitmq-3-1  | 2026-08-30 13:55:33.917904+00:00 [info] <0.1758.0>     rabbitmq_mqtt[0m
rabbitmq-3-1  | 2026-08-30 13:55:33.917904+00:00 [info] <0.1758.0> [0m
rabbitmq-3-1  | 2026-08-30 13:55:33.918564+00:00 [info] <0.1758.0> Stopping application 'rabbitmq_mqtt'[0m
rabbitmq-3-1  | 2026-08-30 13:55:33.918783+00:00 [info] <0.1324.0> stopped MQTT TCP listener on [::]:1883[0m
rabbitmq-3-1  | [38;5;87m2026-08-30 13:55:33.923985+00:00 [notice] <0.45.0> Application rabbitmq_mqtt exited with reason: stopped[0m
rabbitmq-3-1  | 2026-08-30 13:55:33.951427+00:00 [info] <0.1758.0> Plugins changed; disabled [rabbitmq_mqtt][0m
rabbitmq-3-1  | 2026-08-30 13:55:39.918325+00:00 [info] <0.1848.0> Stopping RabbitMQ applications and their dependencies in the following order:[0m
rabbitmq-3-1  | 2026-08-30 13:55:39.918325+00:00 [info] <0.1848.0>     rabbitmq_stomp[0m
rabbitmq-3-1  | 2026-08-30 13:55:39.918325+00:00 [info] <0.1848.0> [0m
rabbitmq-3-1  | 2026-08-30 13:55:39.918428+00:00 [info] <0.1848.0> Stopping application 'rabbitmq_stomp'[0m
rabbitmq-3-1  | 2026-08-30 13:55:39.918643+00:00 [info] <0.1276.0> stopped STOMP TCP listener on [::]:61613[0m
