rabbitmq-3-1  | 2026-08-30 14:41:03.070399+00:00 [info] <0.2342.0> __atlas_1788100860708359000_stream_1788100862966347012 [osiris_replica:handle_continue/2] osiris replica starting in epoch 1, next offset 0, tail info {0,empty}[0m
rabbitmq-3-1  | [38;5;87m2026-08-30 14:41:03.198990+00:00 [notice] <0.2337.0> queue 'atlas.1788100860708359000.quorum' in vhost '/': terminating with reason 'delete'[0m
rabbitmq-3-1  | 2026-08-30 14:41:03.205412+00:00 [info] <0.2347.0> Deleting server '%2F_atlas.1788100860708359000.quorum' and its data directory.[0m
rabbitmq-3-1  | 2026-08-30 14:41:03.510511+00:00 [info] <0.2358.0> Making sure data directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-3/msg_stores/vhosts/DDK3CYH213AVZMQGK77QZ2TIY' for vhost 'atlas-secops-1788100863441087000' exists[0m
rabbitmq-3-1  | 2026-08-30 14:41:03.512306+00:00 [info] <0.2358.0> Setting segment_entry_count for vhost 'atlas-secops-1788100863441087000' with 0 queues to '2048'[0m
rabbitmq-3-1  | 2026-08-30 14:41:03.522525+00:00 [info] <0.2358.0> Starting message stores for vhost 'atlas-secops-1788100863441087000'[0m
rabbitmq-3-1  | 2026-08-30 14:41:03.524818+00:00 [info] <0.2358.0> Started message store of type transient for vhost 'atlas-secops-1788100863441087000'[0m
rabbitmq-3-1  | [38;5;214m2026-08-30 14:41:03.526061+00:00 [warning] <0.2369.0> Message store "DDK3CYH213AVZMQGK77QZ2TIY/msg_store_persistent": rebuilding indices from scratch[0m
rabbitmq-3-1  | 2026-08-30 14:41:03.526591+00:00 [info] <0.2358.0> Started message store of type persistent for vhost 'atlas-secops-1788100863441087000'[0m
rabbitmq-3-1  | 2026-08-30 14:41:03.526752+00:00 [info] <0.2358.0> Recovering 0 queues of type rabbit_classic_queue took 10ms[0m
rabbitmq-3-1  | 2026-08-30 14:41:03.526862+00:00 [info] <0.2358.0> Recovering 0 queues of type rabbit_quorum_queue took 0ms[0m
rabbitmq-3-1  | 2026-08-30 14:41:03.526922+00:00 [info] <0.2358.0> Recovering 0 queues of type rabbit_stream_queue took 0ms[0m
rabbitmq-3-1  | 2026-08-30 14:41:09.573733+00:00 [info] <0.2392.0> accepting AMQP connection 192.168.80.1:28740 -> 192.168.80.4:5672[0m
rabbitmq-3-1  | [38;5;214m2026-08-30 14:41:09.581982+00:00 [warning] <0.2392.0> User 'atlas-secops-1788100863441087000-user' failed to authenticate: user 'atlas-secops-1788100863441087000-user' - invalid credentials[0m
rabbitmq-3-1  | [38;5;160m2026-08-30 14:41:09.582150+00:00 [error] <0.2392.0> Error on AMQP connection <0.2392.0> (192.168.80.1:28740 -> 192.168.80.4:5672, state: starting):[0m
rabbitmq-3-1  | [38;5;160m2026-08-30 14:41:09.582150+00:00 [error] <0.2392.0> PLAIN login refused: user 'atlas-secops-1788100863441087000-user' - invalid credentials[0m
rabbitmq-3-1  | 2026-08-30 14:41:12.574208+00:00 [info] <0.2392.0> closing AMQP connection (192.168.80.1:28740 -> 192.168.80.4:5672, duration: '3s')[0m
rabbitmq-3-1  | 2026-08-30 14:41:12.613224+00:00 [info] <0.2398.0> accepting AMQP connection 192.168.80.1:35409 -> 192.168.80.4:5672[0m
rabbitmq-3-1  | 2026-08-30 14:41:12.623474+00:00 [info] <0.2398.0> User 'atlas-secops-1788100863441087000-user' authenticated successfully[0m
rabbitmq-3-1  | [38;5;160m2026-08-30 14:41:12.625107+00:00 [error] <0.2398.0> Error on AMQP connection <0.2398.0> (192.168.80.1:35409 -> 192.168.80.4:5672, user: 'atlas-secops-1788100863441087000-user', state: opening):[0m
rabbitmq-3-1  | [38;5;160m2026-08-30 14:41:12.625107+00:00 [error] <0.2398.0> access to vhost '/' refused for user 'atlas-secops-1788100863441087000-user'[0m
rabbitmq-3-1  | 2026-08-30 14:41:12.627211+00:00 [info] <0.2398.0> closing AMQP connection (192.168.80.1:35409 -> 192.168.80.4:5672, vhost: 'none', user: 'atlas-secops-1788100863441087000-user', duration: '14ms')[0m
rabbitmq-3-1  | 2026-08-30 14:41:18.744491+00:00 [info] <0.2411.0> accepting AMQP connection 192.168.80.1:50269 -> 192.168.80.4:5672[0m
rabbitmq-3-1  | [38;5;214m2026-08-30 14:41:18.751475+00:00 [warning] <0.2411.0> User 'atlas-secops-1788100863441087000-user' failed to authenticate: user 'atlas-secops-1788100863441087000-user' - invalid credentials[0m
rabbitmq-3-1  | [38;5;160m2026-08-30 14:41:18.751660+00:00 [error] <0.2411.0> Error on AMQP connection <0.2411.0> (192.168.80.1:50269 -> 192.168.80.4:5672, state: starting):[0m
rabbitmq-3-1  | [38;5;160m2026-08-30 14:41:18.751660+00:00 [error] <0.2411.0> PLAIN login refused: user 'atlas-secops-1788100863441087000-user' - invalid credentials[0m
rabbitmq-3-1  | 2026-08-30 14:41:21.739918+00:00 [info] <0.2411.0> closing AMQP connection (192.168.80.1:50269 -> 192.168.80.4:5672, duration: '2s')[0m
rabbitmq-3-1  | 2026-08-30 14:41:21.800113+00:00 [info] <0.2419.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 14:41:21.950319+00:00 [info] <0.2429.0> Stopping vhost supervisor <0.2357.0> for vhost 'atlas-secops-1788100863441087000'[0m
rabbitmq-3-1  | 2026-08-30 14:41:21.950700+00:00 [info] <0.2358.0> Virtual host 'atlas-secops-1788100863441087000' is stopping[0m
rabbitmq-3-1  | 2026-08-30 14:41:21.950841+00:00 [info] <0.2430.0> Closing all connections in vhost 'atlas-secops-1788100863441087000' on node 'rabbit@rabbitmq-3' because the vhost is stopping[0m
rabbitmq-3-1  | 2026-08-30 14:41:21.951041+00:00 [info] <0.2369.0> Stopping message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-3/msg_stores/vhosts/DDK3CYH213AVZMQGK77QZ2TIY/msg_store_persistent'[0m
